REGISTRATION ID,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,SECOND LANGUAGE,SECOND LANGUAGE PROFICIENCY,SCHOOL NUMBER,SCHOOL STATUS,HIGHEST GRADE COMPLETED,PRIORITY MATCHING STATUS,
94445,17,21230,YES,"EAST, WEST, DOWNTOWN",NO,YES,YES,CULINARY ARTS/FOOD SERVICE,NURSING,POETRY,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,432,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94450,17,21213,YES,"DOWNTOWN, EAST",YES,YES,NO,RECREATION AND SPORTS,PRE-SCHOOL CHILDCARE,SWIMMING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,,,410,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
94453,14,21215,YES,WEST,YES,YES,NO,AUTO MECHANICS,CONSTRUCTION/MANUFACTURING,"PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),410,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
94458,20,21239,YES,EAST,NO,NO,YES,MUSICAL ARTS,GRAPHIC DESIGN,"PLAYS INSTRUMENT;VISUAL ARTS;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,999,NOT ATTENDING SCHOOL - HS GRAD / GED,SOME COLLEGE,MANDATORY,
94459,16,21213,YES,"DOWNTOWN, EAST",NO,YES,YES,GRAPHIC DESIGN,VISUAL ARTS,"PLAYS INSTRUMENT;VISUAL ARTS;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,415,IN SCHOOL - HS OR LESS,GRADE 10,PREFERRED,
94462,16,21230,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,COMPUTER INFORMATION TECH,CONSTRUCTION/MANUFACTURING,"SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,400,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
94465,15,21215,YES,"WEST, DOWNTOWN",YES,YES,YES,NURSING,PRE-SCHOOL CHILDCARE,"VISUAL ARTS;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),407,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
94466,14,21218,YES,"NORTH, DOWNTOWN",NO,NO,YES,COMPUTER INFORMATION TECH,PRE-SCHOOL CHILDCARE,POETRY,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,53,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
94470,15,21215,NO,WEST,YES,NO,YES,AUTO MECHANICS,CONSTRUCTION/MANUFACTURING,VISUAL ARTS;SWIMMING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,454,IN SCHOOL - HS OR LESS,,NONE,
94472,17,21206,YES,"NORTH, EAST",NO,YES,YES,GRAPHIC DESIGN,MUSICAL ARTS,"PLAYS INSTRUMENT;VISUAL ARTS;CADD;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,410,IN SCHOOL - POST HS,GRADE 11,NONE,
94473,17,21230,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,BUSINESS/FINANCE,COMMUNICATION/MEDIA,"VISUAL ARTS;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,,,403,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94476,16,21213,YES,"DOWNTOWN, EAST, SOUTHEAST, WEST",YES,YES,YES,NURSING,CAMP COUNSELOR,"VISUAL ARTS;SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,999,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
94479,14,21239,YES,EAST,YES,NO,NO,CONSTRUCTION/MANUFACTURING,COMMUNITY SERVICE,,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMMODATION,,,347,IN SCHOOL - POST HS,GRADE 8,NONE,
94480,16,21215,YES,WEST,NO,YES,NO,COMMUNITY SERVICE,GOVERNMENT/PUBLIC SERVICE,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,362,IN SCHOOL - HS OR LESS,,PREFERRED,
94481,17,21230,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,RECREATION AND SPORTS,GOVERNMENT/PUBLIC SERVICE,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,410,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94483,16,21215,YES,WEST,YES,YES,NO,RECREATION AND SPORTS,MUSICAL ARTS,"SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,407,IN SCHOOL - HS OR LESS,,PREFERRED,
94484,16,21213,YES,"DOWNTOWN, NORTH, EAST",NO,YES,YES,LEGAL,COMPUTER INFORMATION TECH,"VISUAL ARTS;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,403,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
94486,14,21218,YES,"NORTH, EAST",YES,NO,YES,ENVIRONMENTAL/GREEN,RECREATION AND SPORTS,"SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,,,236,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
94487,15,21213,YES,"DOWNTOWN, NORTH, EAST, SOUTHEAST",YES,YES,YES,GRAPHIC DESIGN,CULINARY ARTS/FOOD SERVICE,VISUAL ARTS;CADD,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,410,IN SCHOOL - HS OR LESS,GRADE 10,MANDATORY,
94488,17,21230,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,GRAPHIC DESIGN,COMPUTER INFORMATION TECH,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,403,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94489,16,21213,NO,EAST,YES,NO,YES,CAMP COUNSELOR,CULINARY ARTS/FOOD SERVICE,"VISUAL ARTS;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,406,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
94490,15,21215,YES,"WEST, DOWNTOWN",NO,YES,YES,CAMP COUNSELOR,CLERICAL OFFICE WORK,"VISUAL ARTS;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),407,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
94497,14,21239,YES,EAST,YES,NO,NO,CULINARY ARTS/FOOD SERVICE,NURSING,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,236,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
94498,14,21218,YES,"NORTH, EAST",YES,YES,YES,AUTO MECHANICS,GRAPHIC DESIGN,SWIMMING;OFFICE EQUIPMENT,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,357,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
94502,17,21230,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,AUTO MECHANICS,RECREATION AND SPORTS,,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,422,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
94504,17,21230,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,CAMP COUNSELOR,CULINARY ARTS/FOOD SERVICE,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,410,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94511,17,21230,YES,"NORTH, SOUTH, WEST, DOWNTOWN",YES,YES,YES,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),RECREATION AND SPORTS,VISUAL ARTS;DANCING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,326,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94512,16,21230,NO,SOUTH,NO,YES,YES,NURSING,NURSING,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,410,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94515,19,21239,YES,EAST,NO,YES,YES,RECREATION AND SPORTS,CAMP COUNSELOR,"(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,400,IN SCHOOL - POST HS,SOME COLLEGE,PREFERRED,
94516,17,21230,YES,"SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,NO,PRE-SCHOOL CHILDCARE,CULINARY ARTS/FOOD SERVICE,"PLAYS INSTRUMENT;VISUAL ARTS;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,454,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94517,14,21218,YES,"NORTH, EAST",YES,YES,YES,STEM,COMMUNITY SERVICE,"VISUAL ARTS;SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITH ACCOMMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,,,373,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
94519,15,21213,NO,EAST,YES,NO,NO,MUSICAL ARTS,MUSICAL ARTS,"PLAYS INSTRUMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,999,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
94522,14,21206,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,CULINARY ARTS/FOOD SERVICE,NURSING,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),410,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
94523,17,21230,YES,"SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN, NORTH",YES,YES,YES,COMMUNICATION/MEDIA,PORT OR MARITIME INDUSTRY,VISUAL ARTS;POETRY,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,376,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
94525,21,21205,YES,EAST,YES,NO,NO,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),PRE-SCHOOL CHILDCARE,SWIMMING;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,0,NOT ATTENDING SCHOOL - HS GRAD / GED,HS GRAD / DIPLOMA,NONE,
94526,15,21213,YES,EAST,NO,NO,NO,CAMP COUNSELOR,CAMP COUNSELOR,,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,999,IN SCHOOL - HS OR LESS,GRADE 10,MANDATORY,
94532,16,21213,YES,EAST,YES,YES,YES,CUSTODIAL,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,,,414,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
94533,15,21213,YES,EAST,YES,YES,YES,CAMP COUNSELOR,COMPUTER INFORMATION TECH,"VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,414,IN SCHOOL - HS OR LESS,GRADE 10,PREFERRED,
94534,14,21218,YES,"NORTH, EAST",NO,YES,NO,CULINARY ARTS/FOOD SERVICE,VISUAL ARTS,VISUAL ARTS;SWIMMING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,51,IN SCHOOL - POST HS,GRADE 8,PREFERRED,
94544,17,21230,YES,"SOUTH, WEST, DOWNTOWN",YES,YES,YES,PORT OR MARITIME INDUSTRY,ARCHITECTURE,"PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,382,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94547,17,21230,YES,"SOUTH, WEST, DOWNTOWN",YES,NO,NO,ENVIRONMENTAL/GREEN,RECREATION AND SPORTS,OFFICE EQUIPMENT,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,450,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94548,20,21230,NO,WEST,YES,YES,YES,COMMUNITY SERVICE,CONSTRUCTION/MANUFACTURING,,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,239,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94553,15,21215,YES,"WEST, DOWNTOWN",YES,YES,YES,NURSING,LEGAL,CADD;OFFICE EQUIPMENT;POETRY;DANCING,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),407,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
94558,16,21213,YES,EAST,YES,YES,YES,AUTO MECHANICS,CAMP COUNSELOR,"PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,999,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
94561,14,21218,YES,"NORTH, EAST",NO,YES,YES,PRE-SCHOOL CHILDCARE,CAMP COUNSELOR,,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,245,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
94567,20,21215,YES,"NORTH, DOWNTOWN, SOUTH",NO,YES,YES,CLERICAL OFFICE WORK,GOVERNMENT/PUBLIC SERVICE,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITH ACCOMMODATION,NOT INTERESTED ,WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),403,NOT ATTENDING SCHOOL - HS GRAD / GED,HS GRAD / DIPLOMA,PREFERRED,
94571,14,21215,YES,WEST,NO,NO,YES,AUTO MECHANICS,RECREATION AND SPORTS,"SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,347,IN SCHOOL - HS OR LESS,,PREFERRED,
94572,19,21215,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,NO,STEM,RECREATION AND SPORTS,"VISUAL ARTS;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),999,NOT ATTENDING SCHOOL - HS GRAD / GED,HS GRAD / DIPLOMA,MANDATORY,
94573,20,21230,NO,DOWNTOWN,YES,NO,NO,RECREATION AND SPORTS,RECREATION AND SPORTS,,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,999,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
94575,18,21230,YES,"EAST, DOWNTOWN",NO,NO,NO,ARCHITECTURE,CLERICAL OFFICE WORK,"VISUAL ARTS;SWIMMING;CADD;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,407,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
94577,20,21215,NO,"EAST, WEST, DOWNTOWN",NO,NO,YES,TEACHER'S AIDE,PRE-SCHOOL CHILDCARE,"VISUAL ARTS;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),987,IN SCHOOL - POST HS,SOME COLLEGE,PREFERRED,
94581,17,21206,YES,"NORTH, EAST",YES,NO,YES,STEM,STEM,"SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,410,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
94583,15,21206,YES,"SOUTHEAST, WEST, DOWNTOWN, NORTH, SOUTH, EAST",YES,YES,YES,COMMUNICATION/MEDIA,ELDERLY SERVICES,"VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),480,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
94585,18,21215,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,NO,ENVIRONMENTAL/GREEN,NURSING,"PLAYS INSTRUMENT;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),987,IN SCHOOL - POST HS,SOME COLLEGE,NONE,
