POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,,,,,,,,,,,,,,,,,,,,,,,
957,5,5,4,14,14-15,21215,WEST,NO,NO,NO,"ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
958,5,0,4,16,16-21,21212,EAST,NO,YES,YES,"RECREATION AND SPORTS,
CULINARY ARTS/FOOD SERVICE,
CLERICAL OFFICE WORK,
RETAIL (16+ YEAR OLD ONLY),",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
959,9,0,8,14,14-21,21201,DOWNTOWN,NO,NO,NO,"VISUAL ARTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
BUSINESS/FINANCE,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
960,10,8,8,14,14-21,21206,EAST,NO,NO,NO,"TEACHER'S AIDE,
CUSTODIAL,
HOSPITALITY/TRAVEL,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
961,6,1,4,18,18-21,21215,WEST,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
CUSTODIAL,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
962,7,2,6,19,18-21,21224,EAST,NO,NO,NO,"RECREATION AND SPORTS,
BUSINESS/FINANCE,",DANCING,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
963,15,1,5,16,16-17,21217,WEST,NO,NO,NO,"BUSINESS/FINANCE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
964,13,1,1,18,18-21,21201,DOWNTOWN,NO,YES,YES,"CONSTRUCTION/MANUFACTURING,
GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
965,1,0,0,16,16-17,21216,WEST,NO,NO,YES,"CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,
GRAPHIC DESIGN,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
966,1,0,0,16,16-17,21163,WEST,YES,YES,NO,"PRE-SCHOOL CHILDCARE,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,
AUTO MECHANICS,","OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
967,4,0,3,14,14-15,21223,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
968,12,1,11,18,18-21,21215,WEST,YES,YES,YES,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
969,5,0,4,14,14-15,21201,DOWNTOWN,YES,YES,NO,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
BUSINESS/FINANCE,
CUSTODIAL,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,","VISUAL ARTS, MICROSOFT, POETRY",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
970,13,0,7,18,18-21,21217,WEST,NO,NO,YES,"PRE-SCHOOL CHILDCARE,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
971,7,2,3,16,16-21,21205,EAST,NO,NO,NO,"RECREATION AND SPORTS,
COMMUNITY SERVICE,",SWIMMING,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
972,5,0,0,18,18-21,21212,EAST,NO,YES,NO,"TEACHER'S AIDE,
CAMP COUNSELOR,
CULINARY ARTS/FOOD SERVICE,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,
ELDERLY SERVICES,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
973,22,12,8,16,16-21,21228,SOUTH,NO,YES,NO,"BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
974,10,1,2,16,16-21,21201,DOWNTOWN,NO,YES,NO,"VISUAL ARTS,
MUSICAL ARTS,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,",OFFICE EQUIPMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
975,6,0,0,16,16-21,21214,EAST,NO,NO,NO,"TEACHER'S AIDE,
CULINARY ARTS/FOOD SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
976,2,0,2,18,18-21,21214,EAST,NO,NO,NO,"RECREATION AND SPORTS,",SWIMMING,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
977,12,1,9,14,14-15,21216,WEST,NO,YES,NO,"PRE-SCHOOL CHILDCARE,
TEACHER'S AIDE,
COMMUNITY SERVICE,
CLERICAL OFFICE WORK,
RETAIL (16+ YEAR OLD ONLY),",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
978,4,2,0,14,14-15,21230,SOUTH,YES,NO,NO,"RECREATION AND SPORTS,
TEACHER'S AIDE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
979,6,0,3,14,14-21,21229,WEST,NO,YES,YES,"CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
980,13,6,9,14,14-21,21217,WEST,NO,NO,NO,"CUSTODIAL,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
981,8,2,2,15,16-17,21215,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
982,15,6,11,14,14-15,21217,WEST,NO,YES,YES,"RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
CUSTODIAL,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
983,4,1,1,16,16-21,21212,EAST,YES,NO,NO,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
984,6,0,3,16,16-17,21205,EAST,NO,YES,YES,"VISUAL ARTS,
TEACHER'S AIDE,
COMMUNITY SERVICE,
CLERICAL OFFICE WORK,
ARCHITECTURE,","OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
985,3,0,0,18,18-21,21203,DOWNTOWN,NO,NO,NO,"MUSICAL ARTS,
BUSINESS/FINANCE,
COMMUNITY SERVICE,
GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
986,7,0,2,14,14-15,21214,EAST,NO,NO,NO,"COMMUNITY SERVICE,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
987,13,1,9,16,16-21,21217,WEST,NO,NO,NO,"TEACHER'S AIDE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
988,9,4,9,14,14-21,21229,WEST,NO,NO,NO,"VISUAL ARTS,
ENVIRONMENTAL/GREEN,
CUSTODIAL,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
989,8,0,4,14,14-15,21216,WEST,NO,NO,NO,"ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
990,1,0,0,14,14-15,21204,EAST,NO,YES,NO,"TEACHER'S AIDE,
CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
CONSTRUCTION/MANUFACTURING,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
991,13,2,0,16,16-21,21217,WEST,NO,NO,YES,"ENVIRONMENTAL/GREEN,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
992,9,1,8,16,16-17,21206,EAST,YES,NO,NO,"ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
COMMUNICATION/MEDIA,
ARCHITECTURE,
ELDERLY SERVICES,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
993,11,0,10,16,16-17,21206,EAST,NO,NO,NO,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
STEM,
HOSPITALITY/TRAVEL,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
994,9,1,9,14,14-15,21224,EAST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
NURSING,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
995,6,1,4,16,16-17,21223,WEST,NO,NO,NO,"TEACHER'S AIDE,
CULINARY ARTS/FOOD SERVICE,
COMMUNICATION/MEDIA,
ARCHITECTURE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
996,12,1,2,16,16-17,21205,EAST,NO,NO,NO,"CAMP COUNSELOR,
BUSINESS/FINANCE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
997,7,1,1,14,14-15,21201,DOWNTOWN,NO,NO,NO,"BUSINESS/FINANCE,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
998,15,3,12,18,18-21,21208,NORTH,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
CUSTODIAL,
COMMUNICATION/MEDIA,
ARCHITECTURE,
ELDERLY SERVICES,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
999,6,3,2,16,16-21,21224,EAST,NO,YES,YES,"GOVERNMENT/PUBLIC SERVICE,
CULINARY ARTS/FOOD SERVICE,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1000,6,1,4,14,14-15,21206,EAST,NO,YES,NO,"VISUAL ARTS,
RETAIL (16+ YEAR OLD ONLY),",VISUAL ARTS,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1001,5,2,3,16,16-17,21201,DOWNTOWN,NO,NO,NO,"VISUAL ARTS,
RECREATION AND SPORTS,
STEM,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1002,12,1,3,16,16-17,21201,DOWNTOWN,NO,NO,NO,"NURSING,
STEM,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1003,6,0,2,14,14-15,21206,EAST,YES,NO,NO,"VISUAL ARTS,
MUSICAL ARTS,
RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1004,5,2,1,16,16-17,21216,WEST,NO,YES,NO,"VISUAL ARTS,
TEACHER'S AIDE,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1005,6,0,5,16,16-21,21212,EAST,YES,NO,NO,"COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1006,16,10,14,16,16-17,21201,DOWNTOWN,YES,NO,NO,"ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
LEGAL,
ELDERLY SERVICES,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1007,3,1,2,16,16-21,21226,SOUTH,NO,NO,YES,"PRE-SCHOOL CHILDCARE,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1008,1,0,0,14,14-15,21163,WEST,YES,NO,NO,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
CULINARY ARTS/FOOD SERVICE,",SWIMMING,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1009,7,1,3,14,14-21,21201,DOWNTOWN,NO,YES,YES,"COMPUTER INFORMATION TECH,
STEM,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1010,1,1,0,18,18-21,21220,EAST,NO,NO,NO,"CAMP COUNSELOR,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1011,3,0,2,18,18-21,21220,EAST,YES,NO,NO,"RECREATION AND SPORTS,
TEACHER'S AIDE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
STEM,
LEGAL,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1012,13,3,4,18,18-21,21217,WEST,YES,NO,NO,"TEACHER'S AIDE,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1013,14,9,2,16,16-21,21216,WEST,NO,NO,YES,"MUSICAL ARTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
COMPUTER INFORMATION TECH,
CUSTODIAL,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1014,2,0,1,16,16-17,21220,EAST,NO,YES,YES,"ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
ARCHITECTURE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1015,1,0,1,15,16-17,21163,WEST,YES,NO,NO,"NURSING,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1016,7,2,4,14,14-21,21201,DOWNTOWN,NO,NO,NO,"CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1017,2,0,1,14,14-21,21204,EAST,NO,YES,NO,"COMMUNITY SERVICE,
CUSTODIAL,
CONSTRUCTION/MANUFACTURING,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
1018,13,5,6,14,14-15,21216,WEST,NO,NO,NO,"HOSPITALITY/TRAVEL,
ARCHITECTURE,
AUTO MECHANICS,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1019,1,0,1,16,16-21,21220,EAST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
CUSTODIAL,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1020,11,3,10,18,18-21,21216,WEST,NO,NO,NO,"COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1021,7,2,5,14,14-15,21216,WEST,YES,YES,YES,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
TEACHER'S AIDE,
CUSTODIAL,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
1022,4,1,2,15,16-21,21203,DOWNTOWN,NO,YES,YES,"COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1023,9,5,3,16,16-21,21215,WEST,NO,NO,NO,"CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
1024,8,0,3,15,16-21,21213,EAST,NO,YES,NO,"MUSICAL ARTS,
CULINARY ARTS/FOOD SERVICE,
STEM,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,
RETAIL (16+ YEAR OLD ONLY),","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1025,25,2,9,18,18-21,21228,SOUTH,NO,NO,NO,"TEACHER'S AIDE,
BUSINESS/FINANCE,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1026,13,1,0,16,16-21,21217,WEST,NO,YES,YES,"COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,
STEM,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
